,"AECOM Reference Line: c' = 0, ?' = 33",,"Reference Line: c' = 3, ?' = 33",,,
,Aecom,,New reference line,,,
Slope,0.573576436,,0.573576436,,,
Y-int,3.276608177,,5.73406431,,,
?',35,,35,,,
c',4,,7,,,
,,,,,,
,,,,,,
,X,Y,X,Y,,
,0,3.276608177,0,5.73406431,,
,50,31.95542999,50,34.41288613,,
,100,60.63425181,100,63.09170795,,
,700,404.7801136,700,407.2375698,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
soil type,CDT,,,,,
Grain Size,(All),,,,,
weathering grade,(All),,,,,
Proj specific,(All),,,,,
,,,,,,
,Values,,,,,
ID,Sum of s'(kN/m2),Sum of t'(kN/m2),,ID,Sum of s'(kN/m2),Sum of t'(kN/m2)
87,327.2,181.3,,87,327.2,181.3
88,508.5,271.6,,88,508.5,271.6
89,203.3,121.3,,89,203.3,121.3
90,188.1,105.8,,90,188.1,105.8
91,216.2,118,,91,216.2,118
92,275.1,171.7,,92,275.1,171.7
93,211.2,122,,93,211.2,122
94,584.7,366.8,,94,584.7,366.8
95,195.3,124.1,,95,195.3,124.1
96,346.6,196.9,,96,346.6,196.9
97,634.1,336.3,,97,634.1,336.3
98,253.3,158.7,,98,253.3,158.7
99,205.4,158.9,,99,205.4,158.9
100,118.6,65.2,,100,118.6,65.2
101,127.4,71.4,,101,127.4,71.4
102,310.5,195.2,,102,310.5,195.2
103,349.6,230.3,,103,349.6,230.3
104,129.4,80.1,,104,129.4,80.1
105,1735,1468.4,,105,1735,1468.4
106,546.1,333.3,,106,546.1,333.3
107,529.4,391.9,,107,529.4,391.9
108,115.2,64.7,,108,115.2,64.7
109,359.6,221,,109,359.6,221
110,310.2,204.7,,110,310.2,204.7
111,180.6,99.8,,111,180.6,99.8
112,367.3,250.9,,112,367.3,250.9
113,429.5,300.7,,113,429.5,300.7
114,104.3,85.7,,114,104.3,85.7
115,160.6,85.7,,115,160.6,85.7
116,250.3,104.8,,116,250.3,104.8
117,197.5,113.8,,117,197.5,113.8
118,324.9,206.3,,118,324.9,206.3
119,659.3,474.8,,119,659.3,474.8
120,242.4,135.7,,120,242.4,135.7
121,195.4,114.5,,121,195.4,114.5
122,461.4,282.5,,122,461.4,282.5
123,132.6,70.5,,123,132.6,70.5
124,190.8,131.6,,124,190.8,131.6
125,313.2,228.1,,125,313.2,228.1
126,62.4,47.1,,126,62.4,47.1
127,166.8,88,,127,166.8,88
128,298.1,163.1,,128,298.1,163.1
129,372.8,209.6,,129,372.8,209.6
130,141,89.2,,130,141,89.2
131,193.7,124.8,,131,193.7,124.8
132,489.4,304.2,,132,489.4,304.2
133,413.3,263.7,,133,413.3,263.7
134,172.9,97.2,,134,172.9,97.2
135,387.4,262.5,,135,387.4,262.5
136,224.1,112.2,,136,224.1,112.2
137,410.5,274.5,,137,410.5,274.5
138,186.6,107.3,,138,186.6,107.3
139,203,108.9,,139,203,108.9
140,302,172.7,,140,302,172.7
141,668.6,435,,141,668.6,435
142,89.8,67.8,,142,89.8,67.8
143,256.9,157.7,,143,256.9,157.7
144,547.4,443.1,,144,547.4,443.1
145,400.1,300.7,,145,400.1,300.7
146,160,93.5,,146,160,93.5
147,217.1,125.4,,147,217.1,125.4
148,391,239.8,,148,391,239.8
149,428,226.7,,149,428,226.7
150,838.8,453.2,,150,838.8,453.2
151,258.3,131.5,,151,258.3,131.5
152,524.4,295.2,,152,524.4,295.2
153,160.9,92.7,,153,160.9,92.7
154,338.1,209.2,,154,338.1,209.2
155,286.7,170,,155,286.7,170
156,461.9,266.4,,156,461.9,266.4
157,513.4,261.9,,157,513.4,261.9
158,373.2,225.2,,158,373.2,225.2
159,397.4,244.3,,159,397.4,244.3
160,0,203.4,,160,0,203.4
161,388.3,202.1,,161,388.3,202.1
162,783.3,570.3,,162,783.3,570.3
163,596.8,361.4,,163,596.8,361.4
164,613.6,344.9,,164,613.6,344.9
165,269.7,186.6,,165,269.7,186.6
166,437.9,236.9,,166,437.9,236.9
167,246.4,145,,167,246.4,145
168,349.9,213.6,,168,349.9,213.6
169,565.2,405.7,,169,565.2,405.7
170,431.1,292,,170,431.1,292
171,329.7,188.8,,171,329.7,188.8
172,146.3,81.2,,172,146.3,81.2
173,184.8,106.3,,173,184.8,106.3
174,259.7,151.1,,174,259.7,151.1
175,192.1,111.9,,175,192.1,111.9
176,249.7,154.1,,176,249.7,154.1
177,267.5,165,,177,267.5,165
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
,,,,0,0,0
